35   2018-06-18   00:58:55.9147151   纬度=31.56492   经度=102.3489   强度=-11.04145   陡度=-2.174317   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:小金县
36   2018-06-18   00:58:55.9326086   纬度=31.5597   经度=102.3009   强度=-12.58246   陡度=-2.477776   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:小金县
37   2018-06-18   00:59:11.7711298   纬度=31.55041   经度=102.3084   强度=-16.68575   陡度=-3.140846   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:小金县
38   2018-06-18   00:59:11.7948067   纬度=31.55353   经度=102.3497   强度=-9.429803   陡度=-1.915896   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:小金县
39   2018-06-18   01:01:25.5153621   纬度=31.58667   经度=102.3397   强度=-15.95508   陡度=-3.40375   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:小金县
40   2018-06-18   01:01:25.6755791   纬度=31.59174   经度=102.3737   强度=-12.93102   陡度=-2.546416   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:小金县
41   2018-06-18   01:03:38.4573405   纬度=25.40294   经度=91.03516   强度=-102.6544   陡度=-11.52611   误差=0   定位方式:5   省:   市:   县:
42   2018-06-18   01:04:19.6981551   纬度=31.55339   经度=102.305   强度=-32.56486   陡度=-6.616353   误差=73.09171   定位方式:6   省:四川省   市:阿坝藏族羌族自治州   县:小金县
43   2018-06-18   01:07:23.8662919   纬度=31.52557   经度=102.2837   强度=-18.13975   陡度=-2.866528   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:金川县
44   2018-06-18   01:07:23.9063195   纬度=31.52253   经度=102.2589   强度=-17.66566   陡度=-2.48484   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:金川县
45   2018-06-18   01:07:34.2520699   纬度=19.83249   经度=121.2693   强度=-95.97233   陡度=-23.62396   误差=0   定位方式:5   省:   市:   县:
46   2018-06-18   01:08:12.1746517   纬度=31.52755   经度=102.306   强度=-16.09828   陡度=-3.552725   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:小金县
47   2018-06-18   01:08:12.4037941   纬度=31.52398   经度=102.2762   强度=-20.96907   陡度=-4.880075   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:金川县
