38   2018-06-02   00:15:22.6799465   纬度=48.40579   经度=129.3928   强度=31.11088   陡度=8.126925   误差=0   定位方式:5   省:黑龙江省   市:伊春市   县:伊春市市辖区
39   2018-06-02   00:15:31.3982010   纬度=22.52785   经度=112.9111   强度=-38.43217   陡度=-12.61363   误差=75.73388   定位方式:6   省:广东省   市:江门市   县:新会市
40   2018-06-02   00:15:31.9339935   纬度=22.59549   经度=113.0638   强度=-18.37639   陡度=-6.91817   误差=0   定位方式:2   省:广东省   市:江门市   县:江门市市辖区
41   2018-06-02   00:15:57.9281764   纬度=21.82129   经度=113.6003   强度=-57.73071   陡度=-23.09228   误差=75.90972   定位方式:6   省:   市:   县:
42   2018-06-02   00:15:57.9391111   纬度=21.76572   经度=113.6263   强度=-37.51271   陡度=-8.002711   误差=75.92328   定位方式:6   省:   市:   县:
43   2018-06-02   00:15:58.441561   纬度=21.76717   经度=113.6269   强度=-46.16421   陡度=-29.54509   误差=75.9231   定位方式:6   省:   市:   县:
44   2018-06-02   00:16:05.5899595   纬度=22.67473   经度=113.121   强度=-18.45354   陡度=-9.08482   误差=0   定位方式:2   省:广东省   市:江门市   县:新会市
45   2018-06-02   00:16:05.8881427   纬度=46.99536   经度=135.0401   强度=72.058   陡度=8.090722   误差=67.3406   定位方式:6   省:   市:   县:
46   2018-06-02   00:16:23.4569527   纬度=21.77197   经度=113.6675   强度=-51.60917   陡度=-7.864254   误差=75.92179   定位方式:6   省:   市:   县:
47   2018-06-02   00:16:23.5285895   纬度=21.76121   经度=113.6653   强度=-50.35011   陡度=-8.262582   误差=0   定位方式:5   省:   市:   县:
48   2018-06-02   00:16:25.7036054   纬度=26.25229   经度=104.5869   强度=-23.75015   陡度=-20.2668   误差=0   定位方式:2   省:贵州省   市:六盘水市   县:盘县特区
49   2018-06-02   00:16:26.1345774   纬度=26.25578   经度=104.5719   强度=-33.01686   陡度=-8.624813   误差=74.72779   定位方式:6   省:贵州省   市:六盘水市   县:盘县特区
50   2018-06-02   00:16:26.8462709   纬度=28.94437   经度=100.4531   强度=34.82072   陡度=4.089039   误差=0   定位方式:5   省:四川省   市:甘孜藏族自治州   县:稻城县
51   2018-06-02   00:16:26.9410174   纬度=45.13488   经度=134.4728   强度=51.55275   陡度=12.21991   误差=39.24531   定位方式:6   省:   市:   县:
52   2018-06-02   00:16:33.5161708   纬度=45.38485   经度=134.5657   强度=-61.92748   陡度=-15.85343   误差=0   定位方式:5   省:   市:   县:
53   2018-06-02   00:16:37.7858716   纬度=21.71092   经度=113.5756   强度=-78.24149   陡度=-20.02982   误差=0   定位方式:6   省:   市:   县:
54   2018-06-02   00:16:48.9852492   纬度=49.17265   经度=128.0035   强度=59.4738   陡度=13.84118   误差=0   定位方式:2   省:黑龙江省   市:黑河市   县:逊克县
55   2018-06-02   00:16:49.3286267   纬度=48.44353   经度=129.4326   强度=-35.04317   陡度=-7.475876   误差=0   定位方式:5   省:黑龙江省   市:伊春市   县:伊春市市辖区
56   2018-06-02   00:16:54.5103492   纬度=21.78336   经度=113.6289   强度=-44.06789   陡度=-13.43021   误差=75.91906   定位方式:6   省:   市:   县:
57   2018-06-02   00:16:54.5314602   纬度=21.57671   经度=113.7266   强度=-36.304   陡度=-17.21078   误差=0   定位方式:2   省:   市:   县:
58   2018-06-02   00:16:54.7915623   纬度=21.79956   经度=113.6233   强度=-37.55939   陡度=-12.01901   误差=0   定位方式:5   省:   市:   县:
59   2018-06-02   00:17:00.129043   纬度=22.67673   经度=113.0877   强度=-21.88822   陡度=-14.00846   误差=0   定位方式:2   省:广东省   市:江门市   县:新会市
60   2018-06-02   00:17:00.3197262   纬度=27.39374   经度=102.0208   强度=-45.59319   陡度=-8.337041   误差=74.39569   定位方式:6   省:四川省   市:凉山彝族自治州   县:德昌县
61   2018-06-02   00:17:00.9485899   纬度=49.00805   经度=128.1014   强度=34.94293   陡度=13.15498   误差=0   定位方式:2   省:黑龙江省   市:黑河市   县:逊克县
62   2018-06-02   00:17:07.4970785   纬度=27.32333   经度=101.601   强度=-57.89741   陡度=-6.175723   误差=74.41655   定位方式:6   省:四川省   市:攀枝花市   县:盐边县
63   2018-06-02   00:17:32.708210   纬度=48.4312   经度=129.4198   强度=-29.61724   陡度=-9.477516   误差=0   定位方式:5   省:黑龙江省   市:伊春市   县:伊春市市辖区
64   2018-06-02   00:17:34.2394514   纬度=48.31395   经度=129.4861   强度=31.41995   陡度=8.043508   误差=0   定位方式:5   省:黑龙江省   市:伊春市   县:伊春市市辖区
65   2018-06-02   00:17:34.5936483   纬度=45.07161   经度=136.1597   强度=164.9148   陡度=14.07273   误差=68.10724   定位方式:6   省:   市:   县:
66   2018-06-02   00:17:47.6812462   纬度=27.37152   经度=101.9969   强度=-32.78558   陡度=-6.456238   误差=74.40242   定位方式:6   省:四川省   市:凉山彝族自治州   县:德昌县
67   2018-06-02   00:17:48.8550635   纬度=21.72282   经度=113.6068   强度=-39.8744   陡度=-10.20785   误差=0   定位方式:5   省:   市:   县:
68   2018-06-02   00:17:49.4060609   纬度=23.17517   经度=116.7252   强度=29.70367   陡度=16.53074   误差=0   定位方式:5   省:   市:   县:
69   2018-06-02   00:18:10.376111   纬度=21.71761   经度=113.5961   强度=-46.42353   陡度=-14.85553   误差=75.93516   定位方式:6   省:   市:   县:
